epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,868.644,6.06257,10.6209,8.04413,0.00254,0.40379,0.00866,0.00237,4.70721,11.1899,6.44339,0.00012474,0.00012474,0.00012474
2,1720.22,4.14528,8.41293,5.19985,0.00343,0.66914,0.02585,0.00866,4.14625,8.68167,5.02197,0.000244795,0.000244795,0.000244795
3,2583.76,3.69269,7.24897,4.42578,0.29574,0.21546,0.04897,0.02083,4.11865,7.27273,4.6235,0.0003599,0.0003599,0.0003599
4,3445.72,3.52756,6.72516,4.17742,0.36977,0.10405,0.05969,0.0252,3.8763,6.65425,4.36285,0.000470055,0.000470055,0.000470055
5,4249.96,3.44727,6.46608,4.03965,0.43108,0.1303,0.08191,0.0374,3.7875,6.28365,4.18971,0.00057526,0.00057526,0.00057526
6,5028.07,3.37211,6.26136,3.94511,0.23003,0.1559,0.09021,0.04362,3.75145,6.16539,4.10361,0.000563125,0.000563125,0.000563125
7,5872.28,3.32871,6.12522,3.88421,0.30185,0.18238,0.11664,0.05837,3.6554,5.8609,3.95928,0.00055075,0.00055075,0.00055075
8,6699.82,3.3131,5.99101,3.83865,0.49242,0.22576,0.14058,0.07123,3.58485,5.50591,3.88204,0.000538375,0.000538375,0.000538375
9,7517.95,3.23071,5.84074,3.79133,0.25897,0.23284,0.15514,0.08128,3.52282,5.54034,3.89131,0.000526,0.000526,0.000526
10,8333.41,3.20517,5.74746,3.76506,0.27699,0.27092,0.20487,0.11356,3.46187,5.14015,3.78651,0.000513625,0.000513625,0.000513625
11,9241.54,3.19783,5.63463,3.73989,0.28043,0.28186,0.21707,0.11954,3.43216,5.11932,3.74025,0.00050125,0.00050125,0.00050125
12,10157,3.17859,5.51514,3.72223,0.39702,0.28955,0.25189,0.13961,3.43416,4.94719,3.76288,0.000488875,0.000488875,0.000488875
13,11082.7,3.1554,5.46777,3.69583,0.34106,0.30709,0.26407,0.14972,3.40498,4.85822,3.73817,0.0004765,0.0004765,0.0004765
14,12009.6,3.13178,5.35311,3.66049,0.40578,0.34502,0.28523,0.16412,3.39707,4.6067,3.71364,0.000464125,0.000464125,0.000464125
15,12933.3,3.12144,5.32934,3.6546,0.3793,0.34248,0.29814,0.16538,3.3935,4.66732,3.71803,0.00045175,0.00045175,0.00045175
16,13864.7,3.10769,5.23087,3.64442,0.39813,0.34874,0.3254,0.18122,3.35559,4.38791,3.72679,0.000439375,0.000439375,0.000439375
17,14783,3.0822,5.13661,3.62896,0.29489,0.36821,0.33501,0.18724,3.35932,4.46241,3.7018,0.000427,0.000427,0.000427
18,15712.2,3.07246,5.07617,3.60948,0.35721,0.38805,0.35137,0.19676,3.29896,4.34057,3.6778,0.000414625,0.000414625,0.000414625
19,16571.2,3.0362,5.01507,3.59382,0.31977,0.39936,0.34775,0.19968,3.30889,4.22338,3.65248,0.00040225,0.00040225,0.00040225
20,17372,3.02851,4.95102,3.58389,0.4551,0.40163,0.38591,0.22198,3.26099,3.96359,3.5796,0.000389875,0.000389875,0.000389875
21,18186.9,3.00842,4.85443,3.56243,0.3374,0.43091,0.36666,0.21368,3.21541,4.13066,3.58523,0.0003775,0.0003775,0.0003775
22,19000.8,3.02229,4.83445,3.56391,0.39515,0.42136,0.39816,0.22568,3.26288,4.05196,3.59484,0.000365125,0.000365125,0.000365125
23,19824.8,2.98794,4.78222,3.53876,0.42832,0.45865,0.42237,0.24476,3.23086,3.82279,3.57547,0.00035275,0.00035275,0.00035275
24,20639.5,2.9867,4.75279,3.53913,0.43378,0.44266,0.41723,0.24121,3.18595,3.85072,3.54493,0.000340375,0.000340375,0.000340375
25,21461.5,2.96465,4.68707,3.51943,0.42453,0.47468,0.42609,0.24653,3.1772,3.86658,3.54836,0.000328,0.000328,0.000328
26,22256.8,2.96935,4.63416,3.51178,0.40865,0.46573,0.42849,0.25106,3.13732,3.80179,3.5114,0.000315625,0.000315625,0.000315625
27,23062.2,2.95835,4.61927,3.50941,0.46182,0.47998,0.45454,0.26578,3.16467,3.71541,3.52189,0.00030325,0.00030325,0.00030325
28,23917.1,2.95459,4.57633,3.4936,0.46123,0.47925,0.46307,0.26914,3.15711,3.61805,3.50772,0.000290875,0.000290875,0.000290875
29,24772.9,2.92534,4.52764,3.47435,0.45533,0.50068,0.46357,0.26948,3.18535,3.59219,3.52756,0.0002785,0.0002785,0.0002785
30,25648.6,2.916,4.46754,3.46926,0.44576,0.48766,0.46402,0.27573,3.1298,3.60178,3.46859,0.000266125,0.000266125,0.000266125
31,26483.2,2.89544,4.43053,3.45613,0.48428,0.50155,0.47766,0.28568,3.11994,3.58286,3.45714,0.00025375,0.00025375,0.00025375
32,27303.6,2.91882,4.44595,3.46867,0.50343,0.49707,0.4859,0.28982,3.11957,3.56306,3.46508,0.000241375,0.000241375,0.000241375
33,28124.9,2.88587,4.36359,3.43775,0.51797,0.50559,0.49093,0.28939,3.15775,3.49613,3.46879,0.000229,0.000229,0.000229
34,28952.7,2.88721,4.31299,3.42719,0.53273,0.50967,0.50561,0.29848,3.13635,3.44962,3.43681,0.000216625,0.000216625,0.000216625
35,29774.8,2.87825,4.31635,3.42176,0.511,0.522,0.50842,0.30289,3.13606,3.40769,3.44587,0.00020425,0.00020425,0.00020425
36,30602.5,2.86083,4.26162,3.4105,0.53714,0.5059,0.50863,0.3043,3.07933,3.37294,3.39459,0.000191875,0.000191875,0.000191875
37,31419.6,2.87649,4.26487,3.41382,0.51608,0.51451,0.5121,0.30724,3.10647,3.33987,3.44168,0.0001795,0.0001795,0.0001795
38,32239,2.86419,4.22586,3.40951,0.54164,0.52118,0.52695,0.31392,3.08106,3.31943,3.38813,0.000167125,0.000167125,0.000167125
39,33063.5,2.86431,4.20674,3.3931,0.55663,0.52691,0.52674,0.31511,3.08321,3.28978,3.38886,0.00015475,0.00015475,0.00015475
40,33882.6,2.84685,4.15046,3.39699,0.5492,0.52189,0.52298,0.315,3.08264,3.29924,3.39377,0.000142375,0.000142375,0.000142375
41,34691.6,2.88605,3.4038,3.36777,0.56001,0.50486,0.52471,0.31666,3.07069,3.26226,3.39239,0.00013,0.00013,0.00013
42,35500.9,2.82254,3.25681,3.31262,0.61142,0.49446,0.53438,0.32268,3.06387,3.24055,3.38258,0.000117625,0.000117625,0.000117625
43,36304.4,2.79514,3.17112,3.30139,0.57101,0.52095,0.54088,0.32692,3.08464,3.17502,3.40251,0.00010525,0.00010525,0.00010525
44,37111.8,2.78022,3.12886,3.28841,0.57339,0.51694,0.53991,0.32811,3.06204,3.16773,3.3917,9.2875e-05,9.2875e-05,9.2875e-05
45,37909.9,2.75578,3.09702,3.27512,0.60324,0.50342,0.54353,0.33111,3.05333,3.15647,3.38172,8.05e-05,8.05e-05,8.05e-05
46,38705,2.74402,3.05579,3.25053,0.6077,0.51755,0.55097,0.33352,3.05446,3.12316,3.3743,6.8125e-05,6.8125e-05,6.8125e-05
47,39507.9,2.73083,3.00909,3.23314,0.60715,0.50771,0.55523,0.33398,3.05647,3.09807,3.3864,5.575e-05,5.575e-05,5.575e-05
48,40309.7,2.7271,2.98903,3.23472,0.57652,0.52538,0.55241,0.33484,3.0582,3.09104,3.38143,4.3375e-05,4.3375e-05,4.3375e-05
49,41123.1,2.72719,2.96551,3.22312,0.57861,0.52656,0.5515,0.33323,3.06026,3.08478,3.38323,3.1e-05,3.1e-05,3.1e-05
50,41922.6,2.69764,2.93598,3.21215,0.56342,0.53883,0.5545,0.33492,3.05547,3.0871,3.38011,1.8625e-05,1.8625e-05,1.8625e-05
