epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1508.09,3.09114,4.57589,3.90296,0.00236,0.53875,0.00692,0.00173,2.61791,4.55251,3.38321,0.00012474,0.00012474,0.00012474
2,2736.89,2.24425,3.71286,2.79086,0.2917,0.04313,0.03643,0.01192,2.25474,3.88758,2.72968,0.000244795,0.000244795,0.000244795
3,3824.02,1.95687,3.31173,2.46185,0.42063,0.15607,0.06989,0.02662,2.13784,3.34652,2.54846,0.0003599,0.0003599,0.0003599
4,4919.37,1.82666,3.07645,2.32461,0.22935,0.20864,0.12081,0.04695,1.998,3.15525,2.52981,0.000470055,0.000470055,0.000470055
5,6042.71,1.77383,2.94649,2.26038,0.22656,0.25975,0.16293,0.06594,1.98701,2.92389,2.48766,0.00057526,0.00057526,0.00057526
6,7165.64,1.72722,2.84103,2.20451,0.2812,0.23798,0.18401,0.07989,1.95375,2.90579,2.44458,0.000563125,0.000563125,0.000563125
7,8282.8,1.68807,2.76401,2.17906,0.26194,0.29248,0.22745,0.10721,1.85848,2.63443,2.35356,0.00055075,0.00055075,0.00055075
8,9397.55,1.67088,2.70175,2.15214,0.29858,0.32379,0.25992,0.11542,1.87065,2.5139,2.34438,0.000538375,0.000538375,0.000538375
9,10525.5,1.63781,2.6319,2.12769,0.34572,0.35519,0.30062,0.14532,1.84894,2.45476,2.36859,0.000526,0.000526,0.000526
10,11646.6,1.62726,2.59274,2.11094,0.32215,0.36433,0.3098,0.16096,1.80376,2.33374,2.28287,0.000513625,0.000513625,0.000513625
11,12767.2,1.61583,2.53981,2.08968,0.38387,0.36672,0.35368,0.18194,1.76489,2.2482,2.26666,0.00050125,0.00050125,0.00050125
12,13887.4,1.59852,2.48604,2.07535,0.3791,0.38431,0.36286,0.18944,1.77788,2.24363,2.2788,0.000488875,0.000488875,0.000488875
13,15005.6,1.58466,2.46939,2.06883,0.52895,0.37372,0.38647,0.2016,1.73714,2.19174,2.23909,0.0004765,0.0004765,0.0004765
14,16335.7,1.57268,2.39658,2.0489,0.42073,0.44804,0.42759,0.2169,1.79817,2.04761,2.28858,0.000464125,0.000464125,0.000464125
15,17651.3,1.57504,2.38701,2.0478,0.4948,0.44011,0.43484,0.22816,1.73538,2.05777,2.2236,0.00045175,0.00045175,0.00045175
16,18972.7,1.56456,2.35367,2.03703,0.46173,0.44142,0.44108,0.23144,1.72515,1.99243,2.24345,0.000439375,0.000439375,0.000439375
17,20335.5,1.55082,2.30761,2.02105,0.48998,0.45208,0.45215,0.23848,1.72715,1.95336,2.23199,0.000427,0.000427,0.000427
18,21715.6,1.54341,2.28363,2.01491,0.54414,0.44771,0.46991,0.24667,1.72801,1.93311,2.25004,0.000414625,0.000414625,0.000414625
19,23044.7,1.53108,2.25621,2.00447,0.50675,0.49741,0.5011,0.26085,1.72147,1.87495,2.22801,0.00040225,0.00040225,0.00040225
20,24296.1,1.52564,2.22798,1.99717,0.52313,0.50221,0.50285,0.26651,1.71417,1.84906,2.23353,0.000389875,0.000389875,0.000389875
21,25448.8,1.51147,2.18398,1.98326,0.57417,0.4856,0.51839,0.27492,1.69942,1.84943,2.18621,0.0003775,0.0003775,0.0003775
22,26563.2,1.5097,2.18101,1.98653,0.53635,0.51687,0.52557,0.28053,1.71749,1.79987,2.20083,0.000365125,0.000365125,0.000365125
23,27678.1,1.49717,2.14806,1.9695,0.57891,0.51963,0.54088,0.29419,1.6712,1.78263,2.15882,0.00035275,0.00035275,0.00035275
