epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1210.7,1.25503,2.1495,1.36181,0.23084,0.35283,0.23569,0.14668,1.38838,3.76106,1.58253,0.0672619,0.000330688,0.000330688
2,2334.66,1.29315,2.2593,1.39898,0.24959,0.38202,0.28781,0.17113,1.4553,2.51622,1.63587,0.0342617,0.000663859,0.000663859
3,3787.64,1.32964,2.31469,1.42229,0.43414,0.32101,0.30132,0.19798,1.39062,3.03738,1.50893,0.00126093,0.00099638,0.00099638
4,5110.55,1.33008,2.39884,1.43185,0.16971,0.38827,0.21748,0.1361,1.47026,2.79715,1.59181,0.000997803,0.000997803,0.000997803
5,6380.61,1.34537,2.28787,1.43642,0.22662,0.37347,0.24459,0.15539,1.40357,2.96676,1.54677,0.000996097,0.000996097,0.000996097
6,7328.47,1.33689,2.23141,1.43106,0.22372,0.3672,0.28905,0.17887,1.44479,2.55282,1.52199,0.000993906,0.000993906,0.000993906
7,8233.33,1.3071,2.18056,1.40629,0.27298,0.49549,0.37854,0.24291,1.36581,2.18128,1.4867,0.000991232,0.000991232,0.000991232
8,9082.7,1.29525,2.17298,1.40773,0.38351,0.37296,0.34244,0.22361,1.385,2.15963,1.50823,0.000988079,0.000988079,0.000988079
9,9957.99,1.29486,2.06842,1.39315,0.36081,0.40358,0.3194,0.21098,1.38675,2.41231,1.49198,0.000984449,0.000984449,0.000984449
10,10824.7,1.29867,2.03713,1.39149,0.34119,0.52002,0.42509,0.27624,1.33547,2.20797,1.426,0.000980345,0.000980345,0.000980345
11,13249.4,1.26527,2.01106,1.3824,0.36169,0.47726,0.41738,0.27578,1.38845,1.95364,1.51452,0.000975773,0.000975773,0.000975773
12,16468.5,1.27362,1.94952,1.37598,0.45634,0.41334,0.42381,0.27947,1.33889,2.04448,1.43804,0.000970736,0.000970736,0.000970736
